Comment,Designator,Footprint,LCSC,Quantity
1R,"R3,R4",R_1218_3246Metric,C175575,2
0R,"R10,R13,R14,R9",R_1206_3216Metric,C17888,4
100nF,"C15,C16",C_1206_3216Metric,C1945,2
30.1R,"R17,R18",R_1206_3216Metric,C229545,2
SOT23-DIODEDUAL,"D1,D2,D3,D4",SOT23-DIODEDUAL,C2500,4
1.1uH,"L1,L10,L11,L2,L3,L4,L5,L7,L8,L9",WE-HCI_7030_7040_7050,C2651186,10
432R,"R19,R20,R21,R22,R23,R24,R25,R26",R_0805_2012Metric,C273898,8
825R,"R5,R6",R_0805_2012Metric,C273926,2
243R,"R11,R12",R_0805_2012Metric,C295889,2
18.2R,"R27,R28",R_1206_3216Metric,C327187,2
S30-A75X,"GD1,GD2",S30-A400X,C3660736,2
Conn_SMA,"J1,J2",SMA_Wurth_60312002114503_Vertical,C482015,2
909R,"R1,R2",R_0805_2012Metric,C5445382,2
2.2uF,"C5,C6,C7,C8",C_1210_3225Metric,C55151,4
22uF,"C1,C2",C_2220_5650Metric,C575373,2
470nF,"C11,C12,C13,C14",C_0805_2012Metric,C596323,4
619R,"R31,R32",R_0805_2012Metric,C706395,2
1mH,"L12,L6",COILCRAFT_1008PS,C7570425,2
274R,"R15,R16",R_0805_2012Metric,C865345,2
562R,"R29,R30",R_0805_2012Metric,C865560,2
12.1R,"R7,R8",R_1206_3216Metric,C870402,2
