Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22uF,C_2220_5650Metric,7.266,43.934,270.0,bottom
C11,470nF,C_0805_2012Metric,64.96,37.453,180.0,bottom
C12,470nF,C_0805_2012Metric,64.96,23.014,180.0,bottom
C13,470nF,C_0805_2012Metric,72.58,37.453,180.0,bottom
C14,470nF,C_0805_2012Metric,72.58,23.014,180.0,bottom
C15,100nF,C_1206_3216Metric,92.0,42.316,270.0,bottom
C16,100nF,C_1206_3216Metric,92.042,18.034,90.0,bottom
C2,22uF,C_2220_5650Metric,7.324,16.477,90.0,bottom
C5,2.2uF,C_1210_3225Metric,17.628,42.1,270.0,bottom
C6,2.2uF,C_1210_3225Metric,12.028,18.289,90.0,bottom
C7,2.2uF,C_1210_3225Metric,12.028,42.1,270.0,bottom
C8,2.2uF,C_1210_3225Metric,17.628,18.339,90.0,bottom
D1,SOT23-DIODEDUAL,SOT23-DIODEDUAL,34.7,36.4,180.0,bottom
D2,SOT23-DIODEDUAL,SOT23-DIODEDUAL,52.6,36.35,180.0,bottom
D3,SOT23-DIODEDUAL,SOT23-DIODEDUAL,34.7,21.95,180.0,bottom
D4,SOT23-DIODEDUAL,SOT23-DIODEDUAL,52.6,21.85,180.0,bottom
GD1,S30-A75X,S30-A400X,89.924,35.027,90.0,bottom
GD2,S30-A75X,S30-A400X,89.924,25.425,270.0,bottom
J1,Conn_SMA,SMA_Wurth_60312002114503_Vertical,28.5,37.4565,0.0,top
J2,Conn_SMA,SMA_Wurth_60312002114503_Vertical,28.5,23.0,0.0,top
R1,909R,R_0805_2012Metric,39.044,36.544,90.0,bottom
R10,0R,R_1206_3216Metric,14.828,21.339,90.0,bottom
R11,243R,R_0805_2012Metric,47.68,36.544,90.0,bottom
R12,243R,R_0805_2012Metric,47.68,23.9125,270.0,bottom
R13,0R,R_1206_3216Metric,14.828,39.05,270.0,bottom
R14,0R,R_1206_3216Metric,20.428,21.339,90.0,bottom
R15,274R,R_0805_2012Metric,49.712,36.544,90.0,bottom
R16,274R,R_0805_2012Metric,49.712,23.9125,270.0,bottom
R17,30.1R,R_1206_3216Metric,56.832,37.453,180.0,bottom
R18,30.1R,R_1206_3216Metric,56.832,23.014,180.0,bottom
R19,432R,R_0805_2012Metric,60.134,36.544,90.0,bottom
R2,909R,R_0805_2012Metric,39.044,23.9125,270.0,bottom
R20,432R,R_0805_2012Metric,60.134,23.9125,270.0,bottom
R21,432R,R_0805_2012Metric,62.166,36.544,90.0,bottom
R22,432R,R_0805_2012Metric,62.166,23.9125,270.0,bottom
R23,432R,R_0805_2012Metric,75.374,36.544,90.0,bottom
R24,432R,R_0805_2012Metric,75.374,23.9125,270.0,bottom
R25,432R,R_0805_2012Metric,77.406,36.544,90.0,bottom
R26,432R,R_0805_2012Metric,77.406,23.9125,270.0,bottom
R27,18.2R,R_1206_3216Metric,80.708,37.453,180.0,bottom
R28,18.2R,R_1206_3216Metric,80.708,23.014,180.0,bottom
R29,562R,R_0805_2012Metric,86.042,36.55,90.0,bottom
R3,1R,R_1218_3246Metric,7.266,37.828,270.0,bottom
R30,562R,R_0805_2012Metric,86.042,23.9125,270.0,bottom
R31,619R,R_0805_2012Metric,84.01,36.55,90.0,bottom
R32,619R,R_0805_2012Metric,84.01,23.9125,270.0,bottom
R4,1R,R_1218_3246Metric,7.324,22.573,90.0,bottom
R5,825R,R_0805_2012Metric,41.076,36.544,90.0,bottom
R6,825R,R_0805_2012Metric,41.076,23.9125,270.0,bottom
R7,12.1R,R_1206_3216Metric,44.378,37.453,180.0,bottom
R8,12.1R,R_1206_3216Metric,44.378,23.014,180.0,bottom
R9,0R,R_1206_3216Metric,20.428,39.05,270.0,bottom
